envChgStep	dispStep	stepID	univDispersal	NoDispersal	occupied	absent	stepColonized	stepDecolonized	stepLDDsuccess
0	0	1	1130	1130	1130	1645	0	0	0
1	1	101	1144	1127	1136	1639	9	3	0
2	1	201	1162	1124	1147	1628	14	3	0
3	1	301	1171	1119	1158	1617	16	5	0
4	1	401	1180	1113	1166	1609	14	6	0
5	1	501	1198	1110	1175	1600	12	3	0
6	1	601	1205	1104	1182	1593	14	7	0
7	1	701	1214	1094	1184	1591	13	11	0
8	1	801	1224	1081	1187	1588	17	14	0
9	1	901	1221	1065	1178	1597	8	17	0
10	1	1001	1227	1055	1178	1597	11	11	0
11	1	1101	1225	1039	1175	1600	13	16	0
12	1	1201	1227	1023	1172	1603	13	16	0
13	1	1301	1231	1008	1165	1610	11	18	0
14	1	1401	1234	995	1170	1605	18	13	0
15	1	1501	1226	972	1164	1611	17	23	0
16	1	1601	1217	951	1159	1616	17	22	0
17	1	1701	1215	934	1156	1619	15	18	0
18	1	1801	1212	913	1145	1630	11	22	0
19	1	1901	1206	897	1142	1633	14	17	0
20	1	2001	1192	872	1118	1657	3	27	0
21	1	2101	1188	851	1111	1664	14	21	0
22	1	2201	1180	830	1100	1675	10	21	0
23	1	2301	1173	807	1086	1689	9	23	0
24	1	2401	1164	790	1074	1701	7	19	0
25	1	2501	1153	765	1056	1719	8	26	0
26	1	2601	1143	742	1043	1732	11	24	0
27	1	2701	1121	716	1024	1751	8	27	0
28	1	2801	1103	691	1008	1767	10	26	0
29	1	2901	1077	656	981	1794	9	36	0
30	1	3001	1068	637	971	1804	9	19	0
31	1	3101	1050	612	955	1820	9	25	0
32	1	3201	1033	583	933	1842	7	29	0
33	1	3301	1010	554	917	1858	14	30	0
34	1	3401	1003	538	909	1866	9	17	0
35	1	3501	989	518	900	1875	12	21	0
36	1	3601	969	495	882	1893	7	25	0
37	1	3701	943	461	856	1919	8	34	0
38	1	3801	929	437	844	1931	12	24	0
39	1	3901	908	414	824	1951	6	26	0
40	1	4001	891	393	809	1966	7	22	0
