envChgStep	dispStep	stepID	univDispersal	NoDispersal	occupied	absent	stepColonized	stepDecolonized	stepLDDsuccess
0	0	1	1130	1130	1130	1645	0	0	0
1	1	101	1144	1127	1127	1648	0	3	0
2	1	201	1162	1124	1129	1646	5	3	0
3	1	301	1171	1119	1125	1650	1	5	0
4	1	401	1180	1113	1122	1653	3	6	0
5	1	501	1198	1110	1120	1655	1	3	0
6	1	601	1205	1104	1121	1654	7	6	0
7	1	701	1214	1094	1117	1658	7	11	0
8	1	801	1224	1081	1109	1666	6	14	0
9	1	901	1221	1065	1097	1678	4	16	0
10	1	1001	1227	1055	1091	1684	4	10	0
11	1	1101	1225	1039	1082	1693	7	16	0
12	1	1201	1227	1023	1071	1704	5	16	0
13	1	1301	1231	1008	1059	1716	5	17	0
14	1	1401	1234	995	1050	1725	4	13	0
15	1	1501	1226	972	1032	1743	5	23	0
16	1	1601	1217	951	1015	1760	4	21	0
17	1	1701	1215	934	999	1776	1	17	0
18	1	1801	1212	913	983	1792	6	22	0
19	1	1901	1206	897	973	1802	7	17	0
20	1	2001	1192	872	955	1820	8	26	0
21	1	2101	1188	851	938	1837	4	21	0
22	1	2201	1180	830	920	1855	3	21	0
23	1	2301	1173	807	905	1870	8	23	0
24	1	2401	1164	790	895	1880	8	18	0
25	1	2501	1153	765	875	1900	6	26	0
26	1	2601	1143	742	862	1913	11	24	0
27	1	2701	1121	716	838	1937	3	27	0
28	1	2801	1103	691	820	1955	8	26	0
29	1	2901	1077	656	790	1985	5	35	0
30	1	3001	1068	637	776	1999	5	19	0
31	1	3101	1050	612	756	2019	5	25	0
32	1	3201	1033	583	733	2042	6	29	0
33	1	3301	1010	554	706	2069	3	30	0
34	1	3401	1003	538	696	2079	6	16	0
35	1	3501	989	518	681	2094	5	20	0
36	1	3601	969	495	666	2109	9	24	0
37	1	3701	943	461	637	2138	5	34	0
38	1	3801	929	437	617	2158	4	24	0
39	1	3901	908	414	593	2182	2	26	0
40	1	4001	891	393	578	2197	7	22	0
