envChgStep	dispStep	stepID	univDispersal	NoDispersal	occupied	absent	stepColonized	stepDecolonized	stepLDDsuccess
0	0	1	1130	1130	1130	1645	0	0	0
1	1	101	1144	1127	1127	1648	0	3	0
2	1	201	1161	1124	1124	1651	0	3	0
3	1	301	1170	1118	1119	1656	1	6	0
4	1	401	1180	1113	1117	1658	3	5	0
5	1	501	1195	1110	1115	1660	1	3	0
6	1	601	1204	1104	1114	1661	5	6	0
7	1	701	1212	1093	1106	1669	3	11	0
8	1	801	1223	1080	1096	1679	3	13	0
9	1	901	1221	1065	1082	1693	1	15	0
10	1	1001	1224	1052	1072	1703	3	13	0
11	1	1101	1225	1039	1059	1716	0	13	0
12	1	1201	1225	1023	1046	1729	3	16	0
13	1	1301	1230	1007	1031	1744	1	16	0
14	1	1401	1234	995	1022	1753	3	12	0
15	1	1501	1225	971	1002	1773	4	24	0
16	1	1601	1217	951	983	1792	1	20	0
17	1	1701	1212	934	968	1807	2	17	0
18	1	1801	1209	911	948	1827	4	24	0
19	1	1901	1206	897	938	1837	4	14	0
20	1	2001	1191	872	917	1858	5	26	0
21	1	2101	1187	850	896	1879	1	22	0
22	1	2201	1178	829	877	1898	2	21	0
23	1	2301	1170	805	857	1918	4	24	0
24	1	2401	1163	789	842	1933	1	16	0
25	1	2501	1153	765	821	1954	3	24	0
26	1	2601	1141	742	803	1972	5	23	0
27	1	2701	1119	715	782	1993	6	27	0
28	1	2801	1102	690	756	2019	0	26	0
29	1	2901	1076	655	724	2051	3	35	0
30	1	3001	1066	637	707	2068	1	18	0
31	1	3101	1048	611	684	2091	3	26	0
32	1	3201	1031	582	659	2116	4	29	0
33	1	3301	1009	554	637	2138	7	29	0
34	1	3401	1001	537	622	2153	2	17	0
35	1	3501	989	518	604	2171	1	19	0
36	1	3601	968	495	586	2189	5	23	0
37	1	3701	943	461	559	2216	7	34	0
38	1	3801	929	437	538	2237	3	24	0
39	1	3901	907	413	516	2259	4	26	0
40	1	4001	891	393	497	2278	2	21	0
