envChgStep	dispStep	stepID	univDispersal	NoDispersal	occupied	absent	stepColonized	stepDecolonized	stepLDDsuccess
0	0	1	1130	1130	1130	1645	0	0	0
1	1	101	1144	1127	1133	1642	6	3	0
2	1	201	1162	1124	1149	1626	19	3	0
3	1	301	1171	1119	1154	1621	10	5	0
4	1	401	1180	1113	1163	1612	15	6	0
5	1	501	1198	1110	1178	1597	18	3	0
6	1	601	1205	1104	1182	1593	11	7	0
7	1	701	1214	1094	1181	1594	10	11	0
8	1	801	1224	1081	1181	1594	14	14	0
9	1	901	1221	1065	1175	1600	11	17	0
10	1	1001	1227	1055	1176	1599	12	11	0
11	1	1101	1225	1039	1177	1598	17	16	0
12	1	1201	1227	1023	1172	1603	11	16	0
13	1	1301	1231	1008	1169	1606	14	17	0
14	1	1401	1234	995	1172	1603	16	13	0
15	1	1501	1226	972	1161	1614	12	23	0
16	1	1601	1217	951	1158	1617	18	21	0
17	1	1701	1215	934	1155	1620	15	18	0
18	1	1801	1212	913	1147	1628	14	22	0
19	1	1901	1206	897	1139	1636	9	17	0
20	1	2001	1192	872	1124	1651	12	27	0
21	1	2101	1188	851	1114	1661	11	21	0
22	1	2201	1180	830	1102	1673	9	21	0
23	1	2301	1173	807	1093	1682	14	23	0
24	1	2401	1164	790	1081	1694	7	19	0
25	1	2501	1153	765	1066	1709	11	26	0
26	1	2601	1143	742	1056	1719	14	24	0
27	1	2701	1121	716	1037	1738	8	27	0
28	1	2801	1103	691	1017	1758	6	26	0
29	1	2901	1077	656	989	1786	8	36	0
30	1	3001	1068	637	982	1793	12	19	0
31	1	3101	1050	612	967	1808	10	25	0
32	1	3201	1033	583	951	1824	13	29	0
33	1	3301	1010	554	928	1847	7	30	0
34	1	3401	1003	538	921	1854	10	17	0
35	1	3501	989	518	908	1867	8	21	0
36	1	3601	969	495	888	1887	5	25	0
37	1	3701	943	461	860	1915	6	34	0
38	1	3801	929	437	840	1935	4	24	0
39	1	3901	908	414	820	1955	6	26	0
40	1	4001	891	393	802	1973	4	22	0
