"route.id","AOU","RouteDataID","countrynum","statenum","Route","RPID","year","Stop1","Stop2","Stop3","Stop4","Stop5","Stop6","Stop7","Stop8","Stop9","Stop10","Stop11","Stop12","Stop13","Stop14","Stop15","Stop16","Stop17","Stop18","Stop19","Stop20","Stop21","Stop22","Stop23","Stop24","Stop25","Stop26","Stop27","Stop28","Stop29","Stop30","Stop31","Stop32","Stop33","Stop34","Stop35","Stop36","Stop37","Stop38","Stop39","Stop40","Stop41","Stop42","Stop43","Stop44","Stop45","Stop46","Stop47","Stop48","Stop49","Stop50","Latin.name","RouteName","Active","Latitude","Longitude","Stratum","BCR","RouteTypeID","RouteTypeDetailID"
"840_18_1",510,6345482,840,18,1,101,2012,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Larus_argentatus","MYSTIC",1,41.3360007,-71.9642159,12,30,1,1
"840_18_1",6870,6354224,840,18,1,101,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"Setophaga_ruticilla","MYSTIC",1,41.3360007,-71.9642159,12,30,1,1
"840_18_1",2730,6352938,840,18,1,101,2013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Charadrius_vociferus","MYSTIC",1,41.3360007,-71.9642159,12,30,1,1
"840_18_1",510,6354224,840,18,1,101,2014,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Larus_argentatus","MYSTIC",1,41.3360007,-71.9642159,12,30,1,1
"840_18_1",5930,6345482,840,18,1,101,2012,2,1,1,1,0,0,3,1,0,0,2,0,2,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,"Cardinalis_cardinalis","MYSTIC",1,41.3360007,-71.9642159,12,30,1,1
"840_18_1",1200,6345482,840,18,1,101,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Phalacrocorax_auritus","MYSTIC",1,41.3360007,-71.9642159,12,30,1,1
"840_18_1",3940,6354224,840,18,1,101,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Picoides_pubescens","MYSTIC",1,41.3360007,-71.9642159,12,30,1,1
"840_18_1",4610,6354224,840,18,1,101,2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,"Contopus_virens","MYSTIC",1,41.3360007,-71.9642159,12,30,1,1
"840_18_1",4880,6345482,840,18,1,101,2012,0,1,0,4,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,"Corvus_brachyrhynchos","MYSTIC",1,41.3360007,-71.9642159,12,30,1,1
"840_18_1",1200,6352938,840,18,1,101,2013,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Phalacrocorax_auritus","MYSTIC",1,41.3360007,-71.9642159,12,30,1,1
