"grid","EASTING","NORTHING"
"HP40",445000,1205000
"HP50",455000,1205000
"HP51",455000,1215000
"HP60",465000,1205000
"HP61",465000,1215000
"HP62",465000,1225000
"HT93",395000,1135000
"HT94",395000,1145000
"HU14",415000,1145000
"HU15",415000,1155000
"HU16",415000,1165000
"HU24",425000,1145000
"HU25",425000,1155000
"HU26",425000,1165000
"HU27",425000,1175000
"HU28",425000,1185000
"HU30",435000,1105000
"HU31",435000,1115000
"HU32",435000,1125000
"HU33",435000,1135000
"HU34",435000,1145000
"HU35",435000,1155000
"HU36",435000,1165000
"HU37",435000,1175000
"HU38",435000,1185000
"HU39",435000,1195000
"HU40",445000,1105000
"HU41",445000,1115000
"HU42",445000,1125000
"HU43",445000,1135000
"HU44",445000,1145000
"HU45",445000,1155000
"HU46",445000,1165000
"HU47",445000,1175000
"HU48",445000,1185000
"HU49",445000,1195000
"HU53",455000,1135000
"HU54",455000,1145000
"HU55",455000,1155000
"HU56",455000,1165000
"HU57",455000,1175000
"HU58",455000,1185000
"HU59",455000,1195000
"HU66",465000,1165000
"HU67",465000,1175000
"HU68",465000,1185000
"HU69",465000,1195000
"HU77",475000,1175000
"HW83",185000,1035000
"HX62",265000,1025000
"HY10",315000,1005000
"HY20",325000,1005000
"HY21",325000,1015000
"HY22",325000,1025000
"HY23",325000,1035000
"HY30",335000,1005000
"HY31",335000,1015000
"HY32",335000,1025000
"HY33",335000,1035000
"HY34",335000,1045000
"HY40",345000,1005000
"HY41",345000,1015000
"HY42",345000,1025000
"HY43",345000,1035000
"HY44",345000,1045000
"HY45",345000,1055000
"HY50",355000,1005000
"HY51",355000,1015000
"HY52",355000,1025000
"HY53",355000,1035000
"HY54",355000,1045000
"HY55",355000,1055000
"HY60",365000,1005000
"HY61",365000,1015000
"HY62",365000,1025000
"HY63",365000,1035000
"HY64",365000,1045000
"HY73",375000,1035000
"HY74",375000,1045000
"HY75",375000,1055000
"HZ16",415000,1065000
"HZ17",415000,1075000
"HZ26",425000,1065000
"HZ27",425000,1075000
"NA00",5000,905000
"NA10",15000,905000
"NA91",95000,915000
"NA92",95000,925000
"NA93",95000,935000
"NB00",105000,905000
"NB01",105000,915000
"NB02",105000,925000
"NB03",105000,935000
"NB10",115000,905000
"NB11",115000,915000
"NB12",115000,925000
"NB13",115000,935000
"NB14",115000,945000
"NB20",125000,905000
"NB21",125000,915000
"NB22",125000,925000
"NB23",125000,935000
"NB24",125000,945000
"NB25",125000,955000
"NB30",135000,905000
"NB31",135000,915000
"NB32",135000,925000
"NB33",135000,935000
"NB34",135000,945000
"NB35",135000,955000
"NB41",145000,915000
"NB42",145000,925000
"NB43",145000,935000
"NB44",145000,945000
"NB45",145000,955000
"NB46",145000,965000
"NB52",155000,925000
"NB53",155000,935000
"NB54",155000,945000
"NB55",155000,955000
"NB56",155000,965000
"NB90",195000,905000
"NB91",195000,915000
"NC00",205000,905000
"NC01",205000,915000
"NC02",205000,925000
"NC03",205000,935000
"NC10",215000,905000
"NC11",215000,915000
"NC12",215000,925000
"NC13",215000,935000
"NC14",215000,945000
"NC15",215000,955000
"NC16",215000,965000
"NC20",225000,905000
"NC21",225000,915000
"NC22",225000,925000
"NC23",225000,935000
"NC24",225000,945000
"NC25",225000,955000
"NC26",225000,965000
"NC27",225000,975000
"NC30",235000,905000
"NC31",235000,915000
"NC32",235000,925000
"NC33",235000,935000
"NC34",235000,945000
"NC35",235000,955000
"NC36",235000,965000
"NC37",235000,975000
"NC40",245000,905000
"NC41",245000,915000
"NC42",245000,925000
"NC43",245000,935000
"NC44",245000,945000
"NC45",245000,955000
"NC46",245000,965000
"NC50",255000,905000
"NC51",255000,915000
"NC52",255000,925000
"NC53",255000,935000
"NC54",255000,945000
"NC55",255000,955000
"NC56",255000,965000
"NC60",265000,905000
"NC61",265000,915000
"NC62",265000,925000
"NC63",265000,935000
"NC64",265000,945000
"NC65",265000,955000
"NC66",265000,965000
"NC70",275000,905000
"NC71",275000,915000
"NC72",275000,925000
"NC73",275000,935000
"NC74",275000,945000
"NC75",275000,955000
"NC76",275000,965000
"NC80",285000,905000
"NC81",285000,915000
"NC82",285000,925000
"NC83",285000,935000
"NC84",285000,945000
"NC85",285000,955000
"NC86",285000,965000
"NC90",295000,905000
"NC91",295000,915000
"NC92",295000,925000
"NC93",295000,935000
"NC94",295000,945000
"NC95",295000,955000
"NC96",295000,965000
"ND01",305000,915000
"ND02",305000,925000
"ND03",305000,935000
"ND04",305000,945000
"ND05",305000,955000
"ND06",305000,965000
"ND07",305000,975000
"ND12",315000,925000
"ND13",315000,935000
"ND14",315000,945000
"ND15",315000,955000
"ND16",315000,965000
"ND17",315000,975000
"ND19",315000,995000
"ND23",325000,935000
"ND24",325000,945000
"ND25",325000,955000
"ND26",325000,965000
"ND27",325000,975000
"ND28",325000,985000
"ND29",325000,995000
"ND33",335000,935000
"ND34",335000,945000
"ND35",335000,955000
"ND36",335000,965000
"ND37",335000,975000
"ND38",335000,985000
"ND39",335000,995000
"ND47",345000,975000
"ND48",345000,985000
"ND49",345000,995000
"ND59",355000,995000
"NF09",5000,895000
"NF19",15000,895000
"NF60",65000,805000
"NF66",65000,865000
"NF67",65000,875000
"NF68",65000,885000
"NF70",75000,805000
"NF71",75000,815000
"NF72",75000,825000
"NF73",75000,835000
"NF74",75000,845000
"NF75",75000,855000
"NF76",75000,865000
"NF77",75000,875000
"NF81",85000,815000
"NF82",85000,825000
"NF83",85000,835000
"NF84",85000,845000
"NF85",85000,855000
"NF86",85000,865000
"NF87",85000,875000
"NF88",85000,885000
"NF95",95000,855000
"NF96",95000,865000
"NF97",95000,875000
"NF98",95000,885000
"NF99",95000,895000
"NG07",105000,875000
"NG08",105000,885000
"NG09",105000,895000
"NG14",115000,845000
"NG15",115000,855000
"NG18",115000,885000
"NG19",115000,895000
"NG20",125000,805000
"NG23",125000,835000
"NG24",125000,845000
"NG25",125000,855000
"NG26",125000,865000
"NG29",125000,895000
"NG30",135000,805000
"NG31",135000,815000
"NG32",135000,825000
"NG33",135000,835000
"NG34",135000,845000
"NG35",135000,855000
"NG36",135000,865000
"NG37",135000,875000
"NG40",145000,805000
"NG41",145000,815000
"NG42",145000,825000
"NG43",145000,835000
"NG44",145000,845000
"NG45",145000,855000
"NG46",145000,865000
"NG47",145000,875000
"NG49",145000,895000
"NG50",155000,805000
"NG51",155000,815000
"NG52",155000,825000
"NG53",155000,835000
"NG54",155000,845000
"NG55",155000,855000
"NG56",155000,865000
"NG60",165000,805000
"NG61",165000,815000
"NG62",165000,825000
"NG63",165000,835000
"NG64",165000,845000
"NG65",165000,855000
"NG70",175000,805000
"NG71",175000,815000
"NG72",175000,825000
"NG73",175000,835000
"NG74",175000,845000
"NG75",175000,855000
"NG76",175000,865000
"NG77",175000,875000
"NG78",175000,885000
"NG79",175000,895000
"NG80",185000,805000
"NG81",185000,815000
"NG82",185000,825000
"NG83",185000,835000
"NG84",185000,845000
"NG85",185000,855000
"NG86",185000,865000
"NG87",185000,875000
"NG88",185000,885000
"NG89",185000,895000
"NG90",195000,805000
"NG91",195000,815000
"NG92",195000,825000
"NG93",195000,835000
"NG94",195000,845000
"NG95",195000,855000
"NG96",195000,865000
"NG97",195000,875000
"NG98",195000,885000
"NG99",195000,895000
"NH00",205000,805000
"NH01",205000,815000
"NH02",205000,825000
"NH03",205000,835000
"NH04",205000,845000
"NH05",205000,855000
"NH06",205000,865000
"NH07",205000,875000
"NH08",205000,885000
"NH09",205000,895000
"NH10",215000,805000
"NH11",215000,815000
"NH12",215000,825000
"NH13",215000,835000
"NH14",215000,845000
"NH15",215000,855000
"NH16",215000,865000
"NH17",215000,875000
"NH18",215000,885000
"NH19",215000,895000
"NH20",225000,805000
"NH21",225000,815000
"NH22",225000,825000
"NH23",225000,835000
"NH24",225000,845000
"NH25",225000,855000
"NH26",225000,865000
"NH27",225000,875000
"NH28",225000,885000
"NH29",225000,895000
"NH30",235000,805000
"NH31",235000,815000
"NH32",235000,825000
"NH33",235000,835000
"NH34",235000,845000
"NH35",235000,855000
"NH36",235000,865000
"NH37",235000,875000
"NH38",235000,885000
"NH39",235000,895000
"NH40",245000,805000
"NH41",245000,815000
"NH42",245000,825000
"NH43",245000,835000
"NH44",245000,845000
"NH45",245000,855000
"NH46",245000,865000
"NH47",245000,875000
"NH48",245000,885000
"NH49",245000,895000
"NH50",255000,805000
"NH51",255000,815000
"NH52",255000,825000
"NH53",255000,835000
"NH54",255000,845000
"NH55",255000,855000
"NH56",255000,865000
"NH57",255000,875000
"NH58",255000,885000
"NH59",255000,895000
"NH60",265000,805000
"NH61",265000,815000
"NH62",265000,825000
"NH63",265000,835000
"NH64",265000,845000
"NH65",265000,855000
"NH66",265000,865000
